"loss","learning_rate","epoch","perplexity","steps","samples"
1.7416,5e-05,0.04,5.70646646863879,2300,18400
1.7593,5e-05,0.04,5.808370111941449,2350,18800
1.7595,5e-05,0.04,5.809531902138985,2350,18800
1.7611,5e-05,0.04,5.818834593350803,2350,18800
1.7139,5e-05,0.04,5.55056652985419,2400,19200
1.7144,5e-05,0.04,5.553342507055584,2400,19200
1.7167,5e-05,0.04,5.566129894680474,2400,19200
1.6742,5e-05,0.04,5.334525820912879,2450,19600
1.6747,5e-05,0.04,5.337193750750214,2450,19600
1.6715,5e-05,0.04,5.320142028054926,2500,20000
1.6721,5e-05,0.04,5.323335071088877,2500,20000
1.7055,5e-05,0.04,5.504137047832937,2550,20400
1.7059,5e-05,0.04,5.5063391430417505,2550,20400
1.6818,5e-05,0.04,5.375222669288336,2600,20800
1.683,5e-05,0.04,5.381676808200332,2600,20800
1.6777,5e-05,0.05,5.353229373409738,2650,21200
1.6782,5e-05,0.05,5.355906657361654,2650,21200
1.6444,5e-05,0.05,5.177902233399632,2700,21600
1.6451,5e-05,0.05,5.1815280338451135,2700,21600
1.6095,5e-05,0.05,5.000310447466862,2750,22000
1.6112,5e-05,0.05,5.0088182047723135,2750,22000
1.7117,5e-05,0.05,5.538368706014523,2800,22400
1.7126,5e-05,0.05,5.543355481562324,2800,22400
1.6291,5e-05,0.05,5.099283297739323,2850,22800
1.6268,5e-05,0.05,5.087568423424291,2850,22800
1.6862,5e-05,0.05,5.39892575758649,2900,23200
1.6875,5e-05,0.05,5.405948925141167,2900,23200
1.6826,5e-05,0.05,5.379524567953799,2950,23600
1.6828,5e-05,0.05,5.380600580465053,2950,23600
1.6095,5e-05,0.05,5.000310447466862,3000,24000
1.6102,5e-05,0.05,5.0038118901420505,3000,24000
1.6067,5e-05,0.05,4.986329161149239,3050,24400
1.6068,5e-05,0.05,4.98682781899783,3050,24400
1.6627,5e-05,0.05,5.273530171179755,3100,24800
1.6644,5e-05,0.05,5.282502797041836,3100,24800
1.6124,5e-05,0.05,5.014832394410121,3150,25200
1.6134,5e-05,0.05,5.019849735056742,3150,25200
1.6288,5e-05,0.06,5.097753742194804,3200,25600
1.6297,5e-05,0.06,5.102343785772561,3200,25600
1.5377,5e-05,0.06,4.6538740417525455,3250,26000
1.5386,5e-05,0.06,4.658064413774682,3250,26000
1.6559,5e-05,0.06,5.237791814141359,3300,26400
1.6563,5e-05,0.06,5.239887349946237,3300,26400
1.5837,5e-05,0.06,4.872952420935827,3350,26800
1.5862,5e-05,0.06,4.885150042662397,3350,26800
1.5389,5e-05,0.06,4.659462042732676,3400,27200
1.5396,5e-05,0.06,4.662724807997202,3400,27200
