"loss","learning_rate","epoch","perplexity","steps","samples","model"
1.9094,5e-05,0.28,6.749038160565076,4100,131200,"GPT2-Medium"
1.8721,5e-05,0.29,6.50193613843872,4150,132800,"GPT2-Medium"
1.9079,5e-05,0.29,6.738922192197249,4200,134400,"GPT2-Medium"
1.9603,5e-05,0.29,7.101457182777846,4250,136000,"GPT2-Medium"
1.8805,5e-05,0.3,6.556782433946901,4300,137600,"GPT2-Medium"
1.8865,5e-05,0.3,6.596241387033053,4350,139200,"GPT2-Medium"
1.8647,5e-05,0.3,6.453999395713493,4400,140800,"GPT2-Medium"
1.845,5e-05,0.31,6.32809979040207,4450,142400,"GPT2-Medium"
1.868,5e-05,0.31,6.475332774434199,4500,144000,"GPT2-Medium"
1.9019,5e-05,0.31,6.698609717405791,4550,145600,"GPT2-Medium"
1.8884,5e-05,0.32,6.6087861594283055,4600,147200,"GPT2-Medium"
1.8584,5e-05,0.32,6.413467010594398,4650,148800,"GPT2-Medium"
1.8562,5e-05,0.32,6.399372892385747,4700,150400,"GPT2-Medium"
1.8538,5e-05,0.33,6.384032812902637,4750,152000,"GPT2-Medium"
1.8672,5e-05,0.33,6.470154579768687,4800,153600,"GPT2-Medium"
1.8446,5e-05,0.34,6.325569056666399,4850,155200,"GPT2-Medium"
1.8796,5e-05,0.34,6.550883984456764,4900,156800,"GPT2-Medium"
1.8187,5e-05,0.34,6.1638402468599,4950,158400,"GPT2-Medium"
1.839,5e-05,0.35,6.2902448699855995,5000,160000,"GPT2-Medium"
1.8136,5e-05,0.35,6.132484686243635,5050,161600,"GPT2-Medium"
1.8249,5e-05,0.35,6.202174770615896,5100,163200,"GPT2-Medium"
1.8129,5e-05,0.36,6.1281934490714995,5150,164800,"GPT2-Medium"
1.8171,5e-05,0.36,6.153985987974274,5200,166400,"GPT2-Medium"
1.8171,5e-05,0.36,6.153985987974274,5250,168000,"GPT2-Medium"
1.8091,5e-05,0.37,6.104950503530559,5300,169600,"GPT2-Medium"
1.8211,5e-05,0.37,6.178651229522288,5350,171200,"GPT2-Medium"
1.8051,5e-05,0.37,6.0805794760660605,5400,172800,"GPT2-Medium"
1.8317,5e-05,0.38,6.2444932789171155,5450,174400,"GPT2-Medium"
1.8075,5e-05,0.38,6.095190392895576,5500,176000,"GPT2-Medium"
1.7971,5e-05,0.38,6.032128900960745,5550,177600,"GPT2-Medium"
1.8065,5e-05,0.39,6.089098249082266,5600,179200,"GPT2-Medium"
1.765,5e-05,0.39,5.841572358085994,5650,180800,"GPT2-Medium"
1.7926,5e-05,0.39,6.005045304701559,5700,182400,"GPT2-Medium"
1.7969,5e-05,0.4,6.030922595815089,5750,184000,"GPT2-Medium"
1.7918,5e-05,0.4,6.000243189559967,5800,185600,"GPT2-Medium"
1.7956,5e-05,0.4,6.023087490362518,5850,187200,"GPT2-Medium"
1.8021,5e-05,0.41,6.0623650729034075,5900,188800,"GPT2-Medium"
1.7867,5e-05,0.41,5.969719849968479,5950,190400,"GPT2-Medium"
1.7836,5e-05,0.41,5.95124237331976,6000,192000,"GPT2-Medium"
1.7422,5e-05,0.42,5.709891375889401,6050,193600,"GPT2-Medium"
1.7634,5e-05,0.42,5.8322333155394235,6100,195200,"GPT2-Medium"
1.7575,5e-05,0.43,5.79792444965634,6150,196800,"GPT2-Medium"
1.7661,5e-05,0.43,5.848001623127377,6200,198400,"GPT2-Medium"
1.7803,5e-05,0.43,5.931635642386948,6250,200000,"GPT2-Medium"
1.7164,5e-05,0.44,5.56446030616287,6300,201600,"GPT2-Medium"
1.732,5e-05,0.44,5.651946505077628,6350,203200,"GPT2-Medium"
1.7252,5e-05,0.44,5.613643646157,6400,204800,"GPT2-Medium"
1.7193,5e-05,0.45,5.5806206622413415,6450,206400,"GPT2-Medium"
1.7575,5e-05,0.45,5.79792444965634,6500,208000,"GPT2-Medium"
1.7554,5e-05,0.45,5.785761583791073,6550,209600,"GPT2-Medium"
1.7904,5e-05,0.46,5.991848726589757,6600,211200,"GPT2-Medium"
1.717,5e-05,0.46,5.567799984149774,6650,212800,"GPT2-Medium"
1.7334,5e-05,0.46,5.65986477167804,6700,214400,"GPT2-Medium"
1.7184,5e-05,0.47,5.5756003631188,6750,216000,"GPT2-Medium"
1.7336,5e-05,0.47,5.660996857837218,6800,217600,"GPT2-Medium"
1.7083,5e-05,0.47,5.519570227936003,6850,219200,"GPT2-Medium"
1.7556,5e-05,0.48,5.7869188518307775,6900,220800,"GPT2-Medium"
1.7183,5e-05,0.48,5.57504283095956,6950,222400,"GPT2-Medium"
1.7492,5e-05,0.48,5.750000834846821,7000,224000,"GPT2-Medium"
1.708,5e-05,0.49,5.517914605223447,7050,225600,"GPT2-Medium"
1.7623,5e-05,0.49,5.825821386100057,7100,227200,"GPT2-Medium"
1.7312,5e-05,0.49,5.647426756014245,7150,228800,"GPT2-Medium"
1.7411,5e-05,0.5,5.70361394859391,7200,230400,"GPT2-Medium"
1.6966,5e-05,0.5,5.455367574183706,7250,232000,"GPT2-Medium"
1.6957,5e-05,0.5,5.45045995212813,7300,233600,"GPT2-Medium"
1.7234,5e-05,0.51,5.603548176242617,7350,235200,"GPT2-Medium"
1.7159,5e-05,0.51,5.561678771451415,7400,236800,"GPT2-Medium"
1.663,5e-05,0.51,5.275112467563699,7450,238400,"GPT2-Medium"
1.6855,5e-05,0.52,5.3951478319844055,7500,240000,"GPT2-Medium"
1.7342,5e-05,0.52,5.664394475135182,7550,241600,"GPT2-Medium"
1.6795,5e-05,0.53,5.362873863719142,7600,243200,"GPT2-Medium"
1.7162,5e-05,0.53,5.563347525383424,7650,244800,"GPT2-Medium"
1.6865,5e-05,0.53,5.400545678289723,7700,246400,"GPT2-Medium"
1.683,5e-05,0.54,5.381676808200332,7750,248000,"GPT2-Medium"
1.7002,5e-05,0.54,5.475042290691792,7800,249600,"GPT2-Medium"
